name,niche,city,address,phone,possible_site,instagram_search,google_search,maps
"Pro-Fit Outdoor Living","Furniture / cabinetry / interiors","","","+1-718-532-4333","https://profitoutdoorliving.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Pro-Fit%20Outdoor%20Living%20NJ","https://www.google.com/search?q=site:instagram.com+Pro-Fit%20Outdoor%20Living","https://www.google.com/maps/search/?api=1&query=40.5283255,-74.2367322"
"Robert Del Presto D.M.D.","Dental practice","","","+1-732-840-1300","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Robert%20Del%20Presto%20D.M.D.%20NJ","https://www.google.com/search?q=site:instagram.com+Robert%20Del%20Presto%20D.M.D.","https://www.google.com/maps/search/?api=1&query=40.0748571,-74.1108431"
"Somerset Dental Associates","Dental practice","","311 South Main Street","+1-908-253-3660","https://www.somersetdentalassociates.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Somerset%20Dental%20Associates%20NJ","https://www.google.com/search?q=site:instagram.com+Somerset%20Dental%20Associates","https://www.google.com/maps/search/?api=1&query=40.5383878,-74.5887123"
"Sunflower Spa Inc.","Med spa / aesthetics / wellness","Parlin","984 US 9, Parlin, NJ, 08859","+1 732-727-1455","https://bolahitlincah.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Sunflower%20Spa%20Inc.%20Parlin","https://www.google.com/search?q=site:instagram.com+Sunflower%20Spa%20Inc.%20Parlin","https://www.google.com/maps/search/?api=1&query=40.4584471,-74.2960149"
"The Rush Market","Furniture / cabinetry / interiors","","","+1-888-292-2165","https://www.rushmarket.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20The%20Rush%20Market%20NJ","https://www.google.com/search?q=site:instagram.com+The%20Rush%20Market","https://www.google.com/maps/search/?api=1&query=40.5574642,-74.301429"
"Top Massage","Med spa / aesthetics / wellness","","","+1 908-359-2800","https://topmassage.net/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Top%20Massage%20NJ","https://www.google.com/search?q=site:instagram.com+Top%20Massage","https://www.google.com/maps/search/?api=1&query=40.5229526,-74.62924"
"Tuxedo World","Bridal / formalwear","","2971 Richmond Avenue, 10314","+1-718-698-4859","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Tuxedo%20World%20NJ","https://www.google.com/search?q=site:instagram.com+Tuxedo%20World","https://www.google.com/maps/search/?api=1&query=40.5787387,-74.1689848"
"Value City Furniture","Furniture / cabinetry / interiors","Howell","4831 US Rt. 9, Howell, NJ, 07731","+1-848-249-1414","https://shopvcf.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Value%20City%20Furniture%20Howell","https://www.google.com/search?q=site:instagram.com+Value%20City%20Furniture%20Howell","https://www.google.com/maps/search/?api=1&query=40.1332533,-74.2209927"
"Ying Health Spa","Med spa / aesthetics / wellness","Parlin","3195 Washington Road, Parlin, NJ, 08859","+1 848-468-6846","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Ying%20Health%20Spa%20Parlin","https://www.google.com/search?q=site:instagram.com+Ying%20Health%20Spa%20Parlin","https://www.google.com/maps/search/?api=1&query=40.4682867,-74.3064493"
"Za-zen Chinese Massage","Med spa / aesthetics / wellness","Sayreville","4500 Bordentown Avenue, Sayreville, NJ, 08872","+1 732-313-6895","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Za-zen%20Chinese%20Massage%20Sayreville","https://www.google.com/search?q=site:instagram.com+Za-zen%20Chinese%20Massage%20Sayreville","https://www.google.com/maps/search/?api=1&query=40.4298757,-74.3423395"
"221HR Massage","Med spa / aesthetics / wellness","Hillsborough","220 Triangle Road, Hillsborough, NJ, 08844","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20221HR%20Massage%20Hillsborough","https://www.google.com/search?q=site:instagram.com+221HR%20Massage%20Hillsborough","https://www.google.com/maps/search/?api=1&query=40.5139944,-74.6612466"
"5 Starts Spa","Med spa / aesthetics / wellness","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%205%20Starts%20Spa%20NJ","https://www.google.com/search?q=site:instagram.com+5%20Starts%20Spa","https://www.google.com/maps/search/?api=1&query=40.5050598,-74.6443408"
"A-1 Dental","Dental practice","","","","https://a1dental.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20A-1%20Dental%20NJ","https://www.google.com/search?q=site:instagram.com+A-1%20Dental","https://www.google.com/maps/search/?api=1&query=40.4400345,-74.5326864"
"A.F. Bennett Salon & Wellness Spa","Med spa / aesthetics / wellness","","","","https://www.afbennett.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20A.F.%20Bennett%20Salon%20%26%20Wellness%20Spa%20NJ","https://www.google.com/search?q=site:instagram.com+A.F.%20Bennett%20Salon%20%26%20Wellness%20Spa","https://www.google.com/maps/search/?api=1&query=40.5710357,-74.111071"
"A&J Jewelers","Jewelry","Metuchen","412 Main Street, Metuchen, NJ, 08840","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20A%26J%20Jewelers%20Metuchen","https://www.google.com/search?q=site:instagram.com+A%26J%20Jewelers%20Metuchen","https://www.google.com/maps/search/?api=1&query=40.5416466,-74.3612932"
"Acorn Pediatric Dental","Dental practice","","","","https://acornpediatricdental.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Acorn%20Pediatric%20Dental%20NJ","https://www.google.com/search?q=site:instagram.com+Acorn%20Pediatric%20Dental","https://www.google.com/maps/search/?api=1&query=40.3988557,-74.1109412"
"Advanced Dental Care Excellence","Dental practice","","","","https://www.advanceddental.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Advanced%20Dental%20Care%20Excellence%20NJ","https://www.google.com/search?q=site:instagram.com+Advanced%20Dental%20Care%20Excellence","https://www.google.com/maps/search/?api=1&query=40.5357329,-74.15619"
"Advanced Dental Care, P.C.","Dental practice","","","","https://www.advanceddental.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Advanced%20Dental%20Care%2C%20P.C.%20NJ","https://www.google.com/search?q=site:instagram.com+Advanced%20Dental%20Care%2C%20P.C.","https://www.google.com/maps/search/?api=1&query=40.5667942,-74.113951"
"Advanced Dentistry of Somerset LLC","Dental practice","Raritan","1130 US-202, Raritan, NJ, 08869","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Advanced%20Dentistry%20of%20Somerset%20LLC%20Raritan","https://www.google.com/search?q=site:instagram.com+Advanced%20Dentistry%20of%20Somerset%20LLC%20Raritan","https://www.google.com/maps/search/?api=1&query=40.5756014,-74.6575077"
"AK Dental Arts","Dental practice","","","","https://akdental.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20AK%20Dental%20Arts%20NJ","https://www.google.com/search?q=site:instagram.com+AK%20Dental%20Arts","https://www.google.com/maps/search/?api=1&query=40.6129313,-74.1166898"
"Alfano Kitchen & Bath","Furniture / cabinetry / interiors","","","","https://www.alfanokitchenbath.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Alfano%20Kitchen%20%26%20Bath%20NJ","https://www.google.com/search?q=site:instagram.com+Alfano%20Kitchen%20%26%20Bath","https://www.google.com/maps/search/?api=1&query=40.6515695,-74.3234161"
"Alfredo's Fine Jewlery","Jewelry","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Alfredo's%20Fine%20Jewlery%20NJ","https://www.google.com/search?q=site:instagram.com+Alfredo's%20Fine%20Jewlery","https://www.google.com/maps/search/?api=1&query=40.499748,-74.4266269"
"All Brands Furniture","Furniture / cabinetry / interiors","","","","https://allbrandsfurniture.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20All%20Brands%20Furniture%20NJ","https://www.google.com/search?q=site:instagram.com+All%20Brands%20Furniture","https://www.google.com/maps/search/?api=1&query=40.520229,-74.2843874"
"All Wood Cabinets Depot","Furniture / cabinetry / interiors","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20All%20Wood%20Cabinets%20Depot%20NJ","https://www.google.com/search?q=site:instagram.com+All%20Wood%20Cabinets%20Depot","https://www.google.com/maps/search/?api=1&query=40.6340193,-74.1224576"
"Allied Dental","Dental practice","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Allied%20Dental%20NJ","https://www.google.com/search?q=site:instagram.com+Allied%20Dental","https://www.google.com/maps/search/?api=1&query=40.4000098,-74.2267729"
"Almost Below Cost","Furniture / cabinetry / interiors","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Almost%20Below%20Cost%20NJ","https://www.google.com/search?q=site:instagram.com+Almost%20Below%20Cost","https://www.google.com/maps/search/?api=1&query=40.5944681,-74.4932543"
"Alpine Dental","Dental practice","","","","https://ppuvipat.wordpress.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Alpine%20Dental%20NJ","https://www.google.com/search?q=site:instagram.com+Alpine%20Dental","https://www.google.com/maps/search/?api=1&query=40.0506854,-74.1921108"
"ALX Interiors","Furniture / cabinetry / interiors","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20ALX%20Interiors%20NJ","https://www.google.com/search?q=site:instagram.com+ALX%20Interiors","https://www.google.com/maps/search/?api=1&query=40.5633269,-74.1911856"
"Ambassador Banquet Hall","Event venue","Trenton","610 New York Avenue, Trenton, NJ, 08638","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Ambassador%20Banquet%20Hall%20Trenton","https://www.google.com/search?q=site:instagram.com+Ambassador%20Banquet%20Hall%20Trenton","https://www.google.com/maps/search/?api=1&query=40.2368087,-74.7460155"
"Angel's Bridal","Bridal / formalwear","","","","https://angelsbridal.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Angel's%20Bridal%20NJ","https://www.google.com/search?q=site:instagram.com+Angel's%20Bridal","https://www.google.com/maps/search/?api=1&query=40.516789,-74.2344554"
"Annadale Dental Arts","Dental practice","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Annadale%20Dental%20Arts%20NJ","https://www.google.com/search?q=site:instagram.com+Annadale%20Dental%20Arts","https://www.google.com/maps/search/?api=1&query=40.5421372,-74.1776918"
"Apple Spa","Med spa / aesthetics / wellness","","","","http://ww547.apple-spa.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Apple%20Spa%20NJ","https://www.google.com/search?q=site:instagram.com+Apple%20Spa","https://www.google.com/maps/search/?api=1&query=40.0961642,-74.711655"
"Arden Skin Spa","Med spa / aesthetics / wellness","","262K Arden Avenue, 10312","","https://www.ardenskin.com/","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Arden%20Skin%20Spa%20NJ","https://www.google.com/search?q=site:instagram.com+Arden%20Skin%20Spa","https://www.google.com/maps/search/?api=1&query=40.5529249,-74.1930097"
"Arhaus","Furniture / cabinetry / interiors","Princeton","17 Palmer Square East, Princeton, NJ, 08542","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Arhaus%20Princeton","https://www.google.com/search?q=site:instagram.com+Arhaus%20Princeton","https://www.google.com/maps/search/?api=1&query=40.3502618,-74.6606703"
"Ariana's","Event venue","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Ariana's%20NJ","https://www.google.com/search?q=site:instagram.com+Ariana's","https://www.google.com/maps/search/?api=1&query=40.5247696,-74.236697"
"Asen Jeffrey M DDS","Dental practice","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Asen%20Jeffrey%20M%20DDS%20NJ","https://www.google.com/search?q=site:instagram.com+Asen%20Jeffrey%20M%20DDS","https://www.google.com/maps/search/?api=1&query=40.6081463,-74.7028197"
"Aspen Dental","Dental practice","","","","https://www.hugedomains.com/domain_profile.cfm?d=aspendental.net","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20Aspen%20Dental%20NJ","https://www.google.com/search?q=site:instagram.com+Aspen%20Dental","https://www.google.com/maps/search/?api=1&query=40.2576326,-74.7281603"
"At Home","Furniture / cabinetry / interiors","","","","","https://duckduckgo.com/?q=!ducky%20site%3Ainstagram.com%20At%20Home%20NJ","https://www.google.com/search?q=site:instagram.com+At%20Home","https://www.google.com/maps/search/?api=1&query=40.301925,-74.6810967"
